111,1
112,1
121,1
122,1
131,1
132,1
133,1
134,1
141,1
142,1
143,1
211,1
212,1
213,1
214,1
215,1
216,1
221,1
222,1
223,1
224,1
225,1
226,1
231,1
232,1
233,1
234,1
235,1
241,1
242,1
243,1
251,1
252,1
261,1
262,1
263,1
264,1
265,1
311,2
312,2
313,2
314,2
315,1
321,2
322,2
323,2
324,2
325,2
331,2
332,2
333,2
334,2
335,2
341,2
342,2
343,2
351,2
352,2
411,3
412,2
413,2
421,2
422,2
431,2
432,2
441,3
511,2
512,2
513,4
514,2
515,2
516,2
521,4
522,2
523,4
524,2
531,2
532,2
541,2
611,2
612,2
613,2
621,2
622,3
631,4
632,4
633,4
634,4
711,2
712,2
713,3
721,2
722,2
723,2
731,1
732,2
741,2
742,2
751,4
752,2
753,2
754,2
811,2
812,2
813,2
814,4
815,4
816,4
817,4
818,4
821,4
831,2
832,4
833,4
834,4
835,4
911,5
912,4
921,5
931,5
932,5
933,5
941,5
951,5
952,5
961,4
962,5
11,1
21,1
31,4
