111,2
112,2
121,2
122,2
131,4
132,2
133,2
134,2
141,2
142,4
143,2
211,2
212,2
213,2
214,2
215,3
216,3
221,2
222,2
223,2
224,2
225,2
226,2
231,2
232,2
233,2
234,2
235,2
241,2
242,2
243,2
251,2
252,2
261,2
262,2
263,2
264,2
265,2
311,4
312,3
313,4
314,4
315,2
321,3
322,3
323,2
324,3
325,4
331,3
332,4
333,4
334,4
335,4
341,3
342,2
343,2
351,4
352,3
411,4
412,4
413,4
421,4
422,4
431,4
432,4
441,4
511,3
512,4
513,4
514,2
515,4
516,2
521,4
522,4
523,4
524,4
531,2
532,3
541,2
611,4
612,4
613,4
621,4
622,4
631,4
632,4
633,4
634,2
711,4
712,4
713,4
721,4
722,4
723,4
731,2
732,4
741,4
742,3
751,4
752,4
753,4
754,4
811,4
812,4
813,4
814,4
815,4
816,4
817,5
818,4
821,4
831,4
832,4
833,4
834,4
835,4
911,4
912,4
921,4
931,4
932,5
933,4
941,4
951,4
952,4
961,4
962,4
11,2
21,3
31,4
